Year,Name,G,PTS,TRB,AST,FG%,3P%,FT%,WS,WS/48,Position,isHoF,playedABA,startYear,endYear,yearsPlayed,numAllStar,numTeams,numChampionships,numFinalsMVP,numMVP,isROY,numDPOY,numAllNBA,numAllDef,numPTSLeader,numREBLeader,numASTLeader,totalPTS,totalREB,totalAST,isCollegeChampion,isCollegeAllAmerican,peakWS,numPlayoffApp,numFinalApp,numConfFinalsApp,numOlympicApp,isOlympicGold
,Eddie Jones,954,14.8,4,2.9,0.437,0.373,0.809,100.6,0.147,SG,0,0,1994,2008,14,3,5,0,0,0,0,0,1,3,0,0,0,14155,3857,2812,0,0,10.5,11,0,2,0,0
,Bill Cartwright,963,13.2,6.3,1.4,0.525,0,0.771,72.8,0.127,C,0,0,1979,1995,15,1,3,3,0,0,0,NA,0,0,0,0,0,12713,6106,1390,0,1,10.1,10,3,5,0,0
,Bill Laimbeer,1068,12.9,9.7,2,0.498,0.326,0.837,105.6,0.149,C,0,0,1980,1994,15,4,2,2,0,0,0,NA,0,0,0,1,0,13790,10400,2184,0,0,10.8,9,3,5,0,0
,Jack Sikma,1107,15.6,9.8,3.2,0.464,0.328,0.849,112.5,0.146,C,0,0,1977,1991,14,7,2,1,0,0,0,NA,7,1,0,0,0,17287,10816,3488,0,0,12.6,11,2,3,0,0
,Ben Wallace,1088,5.7,9.6,1.3,0.474,0.137,0.414,93.5,0.14,C,0,0,1996,2012,16,4,5,1,0,0,0,4,5,6,0,2,0,6254,10482,1437,0,0,11.6,8,2,5,0,0
,Glen Rice,1000,18.3,4.4,2.1,0.456,0.4,0.846,88.7,0.122,SF,0,0,1989,2004,15,3,6,1,0,0,0,0,2,0,0,0,0,18336,4387,2097,1,1,10.8,7,1,1,0,0
,Rasheed Wallace,1109,14.4,6.7,1.8,0.467,0.336,0.721,105.1,0.139,C,0,0,1995,2013,16,4,6,1,0,0,0,0,0,0,0,0,0,16006,7404,1994,0,1,11,10,3,6,0,0
,Lou Hudson,890,20.2,4.4,2.7,0.489,,0.797,81,0.131,SG,0,0,1966,1979,13,6,2,0,NA,0,0,NA,1,NA,0,0,0,17940,3926,2432,0,0,11.1,9,0,3,0,0
,Derek Harper,1199,13.3,2.4,5.5,0.463,0.354,0.745,86.8,0.11,SG,0,0,1983,1999,16,0,4,0,0,0,0,0,0,2,0,0,0,16006,2884,6577,0,1,9.9,10,1,2,0,0
,Stephon Marbury,846,19.3,3,7.6,0.433,0.325,0.784,77.5,0.117,PG,0,0,1996,2009,13,2,5,0,0,0,0,0,2,0,0,0,0,16297,2516,6471,0,1,11.7,5,0,0,1,0
,Walter Davis,1033,18.9,3,3.8,0.511,0.272,0.851,76.9,0.128,SF,0,0,1977,1992,15,6,3,0,0,0,1,0,2,0,0,0,0,19521,3053,3878,1,0,10.1,10,0,3,1,1
,Steve Smith,942,14.3,3.2,3.1,0.44,0.358,0.845,83.7,0.139,SG,0,0,1991,2005,14,1,6,1,0,0,0,0,0,0,0,0,0,13430,3060,2922,0,1,10.4,13,1,3,1,1
,World B. Free,886,20.3,2.7,3.7,0.456,0.337,0.753,67.7,0.121,SG,0,0,1975,1988,13,1,5,0,0,0,0,NA,1,0,0,0,0,17955,2430,3319,0,0,10.1,5,1,2,0,0
,Dan Majerle,955,11.4,4.5,2.9,0.431,0.358,0.741,78.5,0.125,SG,0,0,1988,2002,14,3,3,0,0,0,0,0,0,2,0,0,0,10925,4265,2755,0,0,9.8,13,1,4,1,0
,Brad Daugherty,548,19,9.5,3.7,0.532,0.143,0.747,65.2,0.156,C,0,0,1986,1994,8,5,1,0,0,0,0,0,1,0,0,0,0,10389,5227,2028,0,1,12.7,5,0,1,0,0
,Swen Nater,722,12.4,11.6,1.7,0.535,0.1,0.748,58.5,0.135,C,0,1,1973,1984,11,2,6,0,0,0,1,NA,2,0,0,2,0,8980,8340,1235,1,0,9.7,3,1,1,0,0
,Rashard Lewis,1049,14.9,5.2,1.7,0.452,0.386,0.805,90.9,0.13,PF,0,0,1998,2014,16,2,4,1,0,0,0,0,0,0,0,0,0,15579,5433,1765,0,0,9.8,8,3,4,0,0
,A.C. Green,1278,9.6,7.4,1.1,0.494,0.254,0.734,99.5,0.131,PF,0,0,1985,2001,16,1,4,3,0,0,0,0,0,1,0,0,0,12331,9473,1400,0,1,9.4,13,5,6,0,0
,Buck Williams,1307,12.8,10,1.3,0.549,0.167,0.664,120.1,0.136,PF,0,0,1981,1998,17,3,3,0,0,0,1,0,1,4,0,0,0,16784,13017,1646,0,0,11.4,14,2,3,0,0
,Otis Thorpe,1257,14,8.2,2.2,0.546,0.047,0.687,106.4,0.128,PF,0,0,1984,2001,17,1,8,1,0,0,0,0,0,0,0,0,0,17600,10370,2730,0,0,10.4,11,1,1,0,0
,Paul Silas,1254,9.4,9.9,2.1,0.432,,0.673,79.9,0.11,PF,0,0,1964,1980,16,2,5,3,NA,0,0,NA,0,NA,0,0,0,11782,12357,2572,0,1,11.5,14,4,10,0,0
,Antonio McDyess,1015,12,7.5,1.3,0.497,0.117,0.67,69.8,0.119,C,0,0,1995,2011,15,1,5,0,0,0,0,0,1,0,0,0,0,12227,7638,1300,0,0,9.4,8,1,4,1,1
,Vlade Divac,1134,11.8,8.2,3.1,0.495,0.235,0.692,96.4,0.137,C,0,0,1989,2005,16,1,3,0,0,0,0,0,0,0,0,0,0,13398,9326,3541,0,0,9.5,14,1,2,0,0
,Mark Jackson,1296,9.6,3.8,8,0.447,0.332,0.77,91.8,0.113,PG,0,0,1987,2004,17,1,7,0,0,0,1,0,0,0,0,0,1,12489,4963,10334,0,1,7.9,14,1,4,0,0
,Terry Cummings,1183,16.4,7.3,1.9,0.484,0.295,0.706,91.1,0.129,PF,0,0,1982,2000,18,2,7,0,0,0,1,0,2,0,0,0,0,19460,8630,2190,0,1,10.7,13,0,2,0,0
,Mark Price,722,15.2,2.6,6.7,0.472,0.402,0.904,71.1,0.158,PF,0,0,1986,1998,12,4,4,0,0,0,0,0,4,0,0,0,0,10989,1848,4863,0,1,11.3,7,0,1,0,0
,Clifford Robinson,1380,14.2,4.6,2.2,0.438,0.356,0.689,89.7,0.101,SF,0,0,1989,2007,18,1,5,0,0,0,0,0,0,2,0,0,0,19591,6306,3094,0,0,9.6,17,2,4,0,0
